Date,Business Establishment,Amount,Type,Category
2025-06-09 00:00:00,JACKS,29.0,Purchase,Food/Groceries
2025-06-08 00:00:00,WAL-MART SUPERCENTER,8.78,Purchase,Miscellaneous
2025-06-05 00:00:00,AMC THEATERS,35.78,Purchase,Entertainment
2025-06-03 00:00:00,PAYPAL *CHEWY INC,77.92,Purchase,Miscellaneous
2025-06-01 00:00:00,BRAVO #16,25.17,Purchase,Transportation
2025-06-01 00:00:00,WAL-MART SUPERCENTER,10.75,Purchase,Miscellaneous
2025-07-28 00:00:00,WAL-MART SUPERCENTER,27.07,Purchase,Miscellaneous
2025-07-22 00:00:00,SUNOCO,25.98,Purchase,Transportation
2025-07-12 00:00:00,TJ MAXX,61.76,Purchase,Miscellaneous
2025-07-12 00:00:00,PAPAJOHNS,16.49,Purchase,Food/Groceries
2025-07-12 00:00:00,PAYPAL *FOREVER21,73.22,Purchase,Miscellaneous
2025-07-12 00:00:00,SEPHORA,88.41,Purchase,Miscellaneous
2025-07-12 00:00:00,ALDI,101.76,Purchase,Food/Groceries
2025-07-09 00:00:00,GRUBHUB,23.24,Purchase,Food/Groceries
2025-07-08 00:00:00,MARATHON,12.93,Purchase,Transportation
2025-07-08 00:00:00,PAYPAL*EBAY,63.86,Purchase,Miscellaneous
2025-07-08 00:00:00,UberEats,10.0,Purchase,Bills
2025-07-09 00:00:00,Depop,27.99,Purchase,Miscellaneous
2025-08-05 00:00:00,Target,30.42,Purchase,Miscellaneous
2025-08-05,Target,30.42,Refund,Miscellaneous
